,response latency,response window,reward window,early lick times,stim-evoked lick times,reward-evoked lick times,ITI-evoked lick times,early lick?,trialType,validated outcomes,previous outcome,trial type
20,0.3797000000000001,1.6203,1.9682000000000004,[],"[0.37970000000000015, 0.39749999999999996, 0.66385, 0.7005499999999998, 0.83595, 0.8908, 1.0030000000000001, 1.0547000000000004, 1.1950000000000003, 1.2463499999999996, 1.3824500000000004, 1.4364999999999997, 1.5542999999999996, 1.6135000000000002, 1.7129500000000002, 1.7655000000000003, 1.8667499999999997, 1.9389000000000003]","[2.0317999999999996, 2.0853, 2.19825, 2.21485, 2.30415, 2.33915, 2.4208499999999997, 2.46415, 2.545, 2.5885, 2.6762499999999996, 2.72415, 2.8126499999999997, 2.86355, 2.9515000000000002, 3.0006000000000004, 3.09145, 3.1438499999999996, 3.2340999999999998, 3.2862, 3.3840000000000003, 3.4397, 3.5369, 3.5970000000000004, 3.6867, 3.7367999999999997, 3.8388999999999998, 3.9006999999999996, 3.99765]","[4.06565, 4.1695, 4.2255, 4.3296, 4.39055, 4.4946, 4.5586, 4.6653, 4.72945, 4.74765, 4.7582, 4.8446, 4.9058]",False,G,hit,CR,nHIT
21,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
22,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
23,0.6328999999999998,1.3671000000000002,1.9800500000000003,[],"[0.6328999999999998, 0.6574499999999999, 0.7968000000000002, 0.8446500000000001, 0.9729999999999999, 1.0324499999999999, 1.1409000000000002, 1.2093999999999996, 1.3093500000000002, 1.3643999999999998, 1.4889999999999999, 1.5413500000000004, 1.6345, 1.6903499999999996, 1.7950999999999997, 1.8476999999999997, 1.9539999999999997]","[2.0199499999999997, 2.12685, 2.17455, 2.3872, 2.41815, 2.5088, 2.5458499999999997, 2.63455, 2.6788, 2.7623499999999996, 2.8086, 2.89635, 2.9417, 3.0319000000000003, 3.0809499999999996, 3.1699, 3.2212500000000004, 3.3137499999999998, 3.3643, 3.4566, 3.50765, 3.6091499999999996, 3.66035, 3.7638499999999997, 3.8163, 3.9160000000000004, 3.9684999999999997]","[4.0624, 4.11885, 4.2142, 4.2691, 4.3745, 4.43435, 4.536, 4.5961, 4.69515, 4.7652, 4.775, 4.79435, 4.89255, 4.94215]",False,G,hit,CR,nHIT
24,0.61815,1.38185,1.8876,[],"[0.61815, 0.6594000000000002, 0.7915999999999999, 0.84395, 0.9764499999999998, 1.0244499999999999, 1.15205, 1.2026500000000002, 1.3202499999999997, 1.3781499999999998, 1.4762000000000004, 1.5277000000000003, 1.6293499999999996, 1.6875999999999998, 1.7988, 1.8449499999999999, 1.9587500000000002, 1.9942000000000002]","[2.1124, 2.16875, 2.37615, 2.4152500000000003, 2.4928999999999997, 2.5401, 2.6186499999999997, 2.6750999999999996, 2.7500999999999998, 2.8027499999999996, 2.89055, 2.9416, 3.0397499999999997, 3.0919999999999996, 3.1751500000000004, 3.23855, 3.3261000000000003, 3.3849, 3.4795499999999997, 3.5454, 3.55755, 3.57205, 3.64245, 3.70495, 3.7196499999999997, 3.7321, 3.80115, 3.8609, 3.95075]","[4.0213, 4.1105, 4.1761, 4.27165, 4.3717, 4.4605, 4.5169, 4.6383, 4.66885, 4.9261, 4.9911]",False,G,hit,hit,cHIT
25,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
26,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
27,0.6608499999999999,1.33915,1.93005,[],"[0.6608499999999999, 0.7098499999999999, 0.83405, 0.8839999999999999, 1.0192500000000004, 1.0774499999999998, 1.1958000000000002, 1.2519999999999998, 1.3712999999999997, 1.4246999999999996, 1.5701999999999998, 1.6231, 1.7325499999999998, 1.7835, 1.8925999999999998, 1.9459999999999997]","[2.0699500000000004, 2.10905, 2.45425, 2.48245, 2.5699500000000004, 2.61585, 2.6957000000000004, 2.7439, 2.8294499999999996, 2.87685, 2.9631999999999996, 3.0180999999999996, 3.10105, 3.14985, 3.24005, 3.29385, 3.3827499999999997, 3.43905, 3.5332, 3.58685, 3.6824500000000002, 3.7350000000000003, 3.82995, 3.8846, 3.9865500000000003]","[4.05885, 4.1492, 4.2072, 4.31105, 4.375, 4.4721, 4.53635, 4.6305, 4.70055, 4.71365, 4.7266, 4.81835, 4.87245]",False,G,hit,CR,nHIT
28,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
29,0.5533000000000001,1.4467,1.92615,[],"[0.5533000000000001, 0.6010499999999999, 0.7340499999999999, 0.78315, 0.91385, 0.96625, 1.1052999999999997, 1.1569000000000003, 1.2754000000000003, 1.3209999999999997, 1.4381000000000004, 1.4941000000000004, 1.59905, 1.6500500000000002, 1.76065, 1.8193000000000001, 1.9127999999999998, 1.9705000000000004]","[2.07385, 2.117, 2.3465999999999996, 2.3680000000000003, 2.4570499999999997, 2.4962, 2.5747, 2.6222000000000003, 2.7009999999999996, 2.7439999999999998, 2.8324, 2.88105, 2.97145, 3.0212000000000003, 3.1123000000000003, 3.165, 3.2526, 3.30795, 3.4035, 3.4598000000000004, 3.5505500000000003, 3.60515, 3.71105, 3.7643500000000003, 3.857, 3.907]","[4.01915, 4.06425, 4.1596, 4.21435, 4.31155, 4.3647, 4.4624, 4.52145, 4.62475, 4.682, 4.78855, 4.8485, 4.96515]",False,G,hit,CR,nHIT
